"","species","date"
"1","Poecile atricapillus","2018-12-04 15:15"
"2","Bonasa umbellus","2018-12-04 15:15"
"3","Sitta canadensis","2018-12-04 15:15"
"4","Dryobates pubescens","2018-12-04 15:15"
"5","Junco hyemalis","2018-12-04 15:15"
"6","Poecile hudsonicus","2018-12-04 15:15"
"7","Bombycilla garrulus","2018-12-04 14:19"
"8","Corvus corax","2018-12-04 14:19"
"9","Plectrophenax hyperboreus","2018-12-04 14:10"
"10","Plectrophenax nivalis","2018-12-04 14:10"
"11","Haliaeetus leucocephalus","2018-12-04 14:01"
"12","Pica hudsonia","2018-12-04 13:23"
"13","Pinicola enucleator","2018-12-04 13:23"
"14","Anas platyrhynchos","2018-12-04 13:23"
"15","Acanthis flammea","2018-12-04 13:23"
"16","Poecile rufescens","2018-12-04 13:15"
"17","Cyanocitta stelleri","2018-12-04 13:15"
"18","Melospiza melodia","2018-12-04 13:15"
"19","Zonotrichia querula","2018-12-04 13:15"
"20","Regulus satrapa","2018-12-04 13:15"
"21","Streptopelia decaocto","2018-12-04 13:15"
"22","Anas crecca","2018-12-04 12:56"
"23","Turdus migratorius","2018-12-04 12:33"
"24","Loxia leucoptera","2018-12-04 12:25"
"25","Spizelloides arborea","2018-12-04 11:45"
"26","Zonotrichia leucophrys","2018-12-04 11:45"
"27","Regulus calendula","2018-12-04 11:45"
"28","Colaptes auratus","2018-12-04 11:45"
"29","Larus canus","2018-12-04 11:45"
"30","Mergus merganser","2018-12-04 11:45"
"31","Bucephala clangula","2018-12-04 11:45"
"32","Branta canadensis","2018-12-04 11:45"
"33","Bucephala albeola","2018-12-04 11:45"
"34","Megaceryle alcyon","2018-12-04 11:45"
"35","Lagopus lagopus","2018-12-04 11:24"
"36","Glaucidium gnoma","2018-12-04 11:00"
"37","Phalacrocoracidae sp.","2018-12-04 10:03"
"38","Corvus caurinus","2018-12-04 09:15"
"39","Pipilo maculatus","2018-12-04 09:15"
"40","Mareca americana","2018-12-04"
"41","Larus glaucoides","2018-12-04"
"42","Melanitta perspicillata","2018-12-04"
"43","Actitis macularius","2018-12-04"
"44","Podiceps grisegena","2018-12-04"
"45","Mergus serrator","2018-12-04"
"46","Spinus pinus","2018-12-04"
"47","Setophaga palmarum","2018-12-04"
"48","Troglodytes pacificus","2018-12-04"
"49","Anas acuta","2018-12-04"
"50","Brachyramphus marmoratus","2018-12-04"
"51","Clangula hyemalis","2018-12-04"
"52","Podiceps auritus","2018-12-04"
"53","Histrionicus histrionicus","2018-12-04"
"54","Ardea herodias","2018-12-04"
"55","Larus glaucescens","2018-12-04"
"56","Gavia immer","2018-12-04"
"57","Arenaria melanocephala","2018-12-04"
"58","Bucephala islandica","2018-12-04"
"59","Calypte anna","2018-12-04"
"60","Melanitta americana","2018-12-03 16:00"
"61","Columba livia","2018-12-03 16:00"
"62","Phalacrocorax pelagicus","2018-12-03 16:00"
"63","Oreothlypis celata","2018-12-03 15:38"
