"","SpSplit","SpInto"
"1","Sarkidiornis melanotos","Sarkidiornis melanotos NA"
"2","Sarkidiornis melanotos","Sarkidiornis sylvicola NA"
"3","Anas platyrhynchos","Anas diazi NA"
"4","Melanitta fusca","Melanitta deglandi NA"
"5","Megascops guatemalae","Megascops guatemalae)  NA"
"6","Zimmerius vilissimus","Zimmerius vilissimus NA"
"7","Ptrerodroma macroptera","Ptrerodroma NA NA"
"8","Oceanodroma castro","Oceanodroma jabejabe NA"
"9","Porphyrio porphyrio","Porphyrio porphyrio NA"
"10","Apus pacificus","Apus pacificus NA"
"11","Saxicola torquatus","Saxicola rubicola NA"
"12","Garrulax canorus","Garrulax canorus NA"
"13","Turdus naumanni","Turdus eunomus NA"
"14","Pterodroma NA","Pterodroma gouldi NA"
